0x0d22f1cbae,assigned_info
0x07363422a4,bgm2_id
0x06ffd8d435,bgm_01
0x0666d1858f,bgm_02
0x0611d6b519,bgm_03
0x068fb220ba,bgm_04
0x06f8b5102c,bgm_05
0x0661bc4196,bgm_06
0x0710f0b42a,bgm_a88
0x08751aebf2,bgm_ad12
0x07b47381ac,bgm_b19
0x079047306a,bgm_c21
0x0f6dfa32f6,bgm_color_param
0x0935bf355b,bgm_crs22
0x07bfe71f1b,bgm_e11
0x0e5f91a3ce,bgm_edge_y_max
0x077fef57b4,bgm_f27
0x0d0e251bbd,bgm_fade_time
0x115e4c5023,bgm_fadeout_frame
0x0bd121ce4b,bgm_flg_ex0
0x0ba626fedd,bgm_flg_ex1
0x0b3f2faf67,bgm_flg_ex2
0x0b48289ff1,bgm_flg_ex3
0x0bd64c0a52,bgm_flg_ex4
0x0c229397db,bgm_flg_stop
0x07dca44290,bgm_g08
0x068fa09753,bgm_id
0x07cc7bbb4e,bgm_p04
0x0cfa5acb4d,bgm_rarity_0
0x0cbc118b10,bgm_selector
0x0a31d0d0d9,bgm_set_id
0x0e471f300a,bgm_setting_no
0x0851064da5,bgm_sp20
0x0e4a4356b0,bgm_volume_mag
0x0c9ac6a222,bgmadventure
0x097fbabbb7,bgmanimal
0x0709d58699,bgmbeyo
0x07eaacb78a,bgmboss
0x0822fbb0ca,bgmbrave
0x08d5126604,bgmbuddy
0x0865bda3b8,bgmdemon
0x0518df528a,bgmdk
0x08a33cffef,bgmdolly
0x0a5061f8ce,bgmdracula
0x07a15402d6,bgmedge
0x0a9958647b,bgmelement
0x05cd511d0f,bgmfe
0x0554584cb5,bgmff
0x06e641b285,bgmfox
0x08917fba23,bgmfzero
0x0ce2787a3c,bgmgamewatch
0x09aa3c11b2,bgmicaros
0x077c283868,bgmjack
0x088c3c9416,bgmkirby
0x08d1e825c3,bgmmario
0x0938183b7e,bgmmaster
0x0c7a20cea3,bgmmetalgear
0x0a8723815a,bgmmetroid
0x088366daf8,bgmmkart
0x090fc3e7b2,bgmmother
0x0812edd47d,bgmother
0x09b4d37c10,bgmpacman
0x090a4cef4b,bgmpickel
0x0989ce9536,bgmpikmin
0x0b4f8829ab,bgmplaylist
0x0abac4aab1,bgmpokemon
0x0bbb7d8123,bgmpunchout
0x0a6377aae4,bgmrockman
0x0563edaaa1,bgmsf
